,date,voltage
284,2022-12-02 02:59:50.927,27.4
285,2022-12-02 03:00:53.020,27.4
286,2022-12-02 03:01:55.111,27.4
287,2022-12-02 03:02:57.197,27.4
288,2022-12-02 03:03:59.298,27.4
289,2022-12-02 03:05:01.395,27.4
290,2022-12-02 03:06:03.486,27.4
291,2022-12-02 03:07:05.574,27.4
292,2022-12-02 03:08:07.661,27.4
293,2022-12-02 03:09:09.749,27.4
294,2022-12-02 03:10:11.854,27.4
295,2022-12-02 03:11:13.948,27.4
296,2022-12-02 03:12:16.037,27.4
297,2022-12-02 03:13:18.133,27.4
298,2022-12-02 03:14:20.212,27.4
299,2022-12-02 03:15:22.297,27.4
300,2022-12-02 03:16:24.383,27.4
301,2022-12-02 03:17:26.486,27.4
302,2022-12-02 03:18:28.572,27.4
303,2022-12-02 03:19:30.657,27.4
304,2022-12-02 03:20:32.754,27.4
305,2022-12-02 03:21:34.851,27.4
306,2022-12-02 03:22:36.956,27.4
307,2022-12-02 03:23:39.048,27.4
308,2022-12-02 03:24:41.154,27.4
309,2022-12-02 03:25:43.253,27.4
310,2022-12-02 03:26:45.343,27.4
311,2022-12-02 03:27:47.441,27.4
312,2022-12-02 03:28:49.550,27.4
313,2022-12-02 03:29:51.631,27.4
314,2022-12-02 03:30:53.729,27.4
315,2022-12-02 03:31:55.816,27.4
316,2022-12-02 03:32:57.916,27.4
317,2022-12-02 03:34:00.020,27.4
318,2022-12-02 03:35:02.121,27.4
319,2022-12-02 03:36:04.221,27.4
320,2022-12-02 03:37:06.322,27.4
321,2022-12-02 03:38:08.418,27.4
322,2022-12-02 03:39:10.529,27.4
323,2022-12-02 03:40:12.613,27.4
324,2022-12-02 03:41:14.732,27.4
325,2022-12-02 03:42:16.830,27.4
326,2022-12-02 03:43:18.919,27.4
327,2022-12-02 03:44:21.009,27.4
328,2022-12-02 03:45:23.109,27.4
329,2022-12-02 03:46:25.209,27.4
330,2022-12-02 03:47:27.297,27.4
331,2022-12-02 03:48:29.385,27.4
